iter	Passed	Remaining
314	1070	2327
315	1073	2322
316	1075	2318
317	1078	2312
318	1080	2307
319	1083	2301
320	1085	2296
321	1088	2291
322	1090	2286
323	1093	2281
324	1095	2275
325	1097	2269
326	1100	2264
327	1102	2259
328	1105	2255
329	1108	2250
330	1111	2246
331	1114	2241
332	1116	2236
333	1118	2230
334	1121	2225
335	1123	2220
336	1125	2214
337	1128	2209
338	1130	2204
339	1133	2199
340	1135	2195
341	1138	2190
342	1141	2185
343	1143	2180
344	1146	2176
345	1148	2170
346	1150	2165
347	1153	2161
348	1155	2156
349	1158	2151
350	1161	2147
351	1163	2141
352	1167	2139
353	1170	2135
354	1172	2130
355	1175	2125
356	1177	2120
357	1180	2116
358	1182	2111
359	1184	2106
360	1187	2102
361	1190	2097
362	1193	2093
363	1195	2089
364	1198	2084
365	1200	2080
366	1203	2075
367	1205	2070
368	1208	2065
369	1210	2061
370	1213	2057
371	1216	2052
372	1218	2048
373	1220	2043
374	1223	2038
375	1226	2034
376	1228	2029
377	1230	2025
378	1233	2021
379	1235	2016
380	1238	2011
381	1240	2007
382	1243	2002
383	1246	1998
384	1248	1994
385	1250	1989
386	1253	1985
387	1256	1981
388	1258	1976
389	1260	1972
390	1263	1967
391	1265	1963
392	1268	1959
393	1270	1954
394	1273	1950
395	1275	1945
396	1277	1941
397	1280	1936
398	1282	1932
399	1286	1929
400	1288	1924
401	1291	1920
402	1293	1916
403	1296	1912
404	1298	1908
405	1301	1903
406	1303	1899
407	1306	1895
408	1308	1890
409	1310	1886
410	1313	1882
411	1315	1878
412	1318	1873
413	1320	1869
414	1322	1864
415	1325	1860
416	1327	1856
417	1329	1851
418	1332	1847
419	1335	1843
420	1337	1839
421	1339	1835
422	1342	1830
423	1344	1826
424	1347	1823
425	1351	1820
426	1354	1817
427	1356	1813
428	1359	1809
429	1362	1805
430	1364	1801
431	1366	1797
432	1369	1792
433	1371	1788
434	1374	1784
435	1376	1780
436	1379	1777
437	1381	1773
438	1384	1769
439	1387	1766
440	1391	1763
441	1394	1760
442	1396	1756
443	1399	1752
444	1402	1748
445	1404	1744
446	1408	1741
447	1410	1738
448	1414	1735
449	1418	1734
450	1421	1730
451	1424	1727
452	1427	1723
453	1429	1719
454	1432	1715
455	1434	1711
456	1437	1707
457	1440	1704
458	1442	1700
459	1445	1696
460	1447	1692
461	1450	1688
462	1453	1685
463	1455	1681
464	1458	1677
465	1460	1673
466	1462	1669
467	1465	1665
468	1467	1661
469	1469	1657
470	1472	1653
471	1474	1649
472	1477	1645
473	1479	1642
474	1482	1638
475	1485	1634
476	1487	1630
477	1489	1626
478	1492	1623
479	1494	1619
480	1496	1615
481	1499	1611
482	1501	1607
483	1504	1603
484	1506	1600
485	1509	1596
486	1511	1592
487	1514	1588
488	1516	1584
489	1519	1581
490	1521	1577
491	1523	1573
492	1526	1569
493	1528	1566
494	1531	1562
495	1533	1558
496	1535	1554
497	1538	1550
498	1540	1546
499	1543	1543
500	1545	1539
501	1548	1535
502	1550	1531
503	1552	1528
504	1555	1524
505	1557	1520
506	1560	1517
507	1562	1513
508	1565	1509
509	1567	1506
510	1569	1502
511	1572	1498
512	1574	1494
513	1577	1491
514	1579	1487
515	1581	1483
516	1584	1480
517	1587	1476
518	1589	1473
519	1592	1469
520	1594	1466
521	1597	1462
522	1599	1458
523	1602	1455
524	1604	1451
525	1607	1448
526	1609	1444
527	1611	1440
528	1614	1437
529	1616	1433
530	1619	1430
531	1621	1426
532	1623	1422
533	1626	1419
534	1629	1415
535	1631	1412
536	1633	1408
537	1636	1405
538	1638	1401
539	1641	1398
540	1643	1394
541	1646	1391
542	1648	1387
543	1650	1383
544	1653	1380
545	1655	1376
546	1658	1373
547	1660	1369
548	1662	1366
549	1665	1362
550	1667	1359
551	1670	1355
552	1672	1352
553	1675	1348
554	1677	1344
555	1680	1341
556	1682	1338
557	1684	1334
558	1687	1331
559	1689	1327
560	1691	1324
561	1694	1320
562	1696	1317
563	1699	1313
564	1701	1310
565	1704	1306
566	1707	1303
567	1709	1300
568	1712	1297
569	1715	1294
570	1717	1290
571	1720	1287
572	1723	1284
573	1725	1280
574	1728	1277
575	1730	1274
576	1733	1271
577	1736	1267
578	1740	1265
579	1743	1262
580	1745	1259
581	1748	1255
582	1751	1252
583	1754	1249
584	1757	1246
585	1760	1243
586	1762	1240
587	1765	1236
588	1767	1233
589	1769	1229
590	1771	1226
591	1774	1222
592	1776	1219
593	1778	1215
594	1781	1212
595	1783	1208
596	1785	1205
597	1788	1202
598	1790	1198
599	1793	1195
600	1795	1191
601	1797	1188
602	1800	1185
603	1802	1182
604	1805	1178
605	1807	1175
606	1809	1171
607	1812	1168
608	1815	1165
609	1817	1161
610	1820	1158
611	1822	1155
612	1824	1151
613	1827	1148
614	1829	1145
615	1832	1142
616	1834	1138
617	1837	1135
618	1839	1132
619	1842	1129
620	1844	1125
621	1847	1122
622	1849	1119
623	1851	1115
624	1854	1112
625	1856	1109
626	1858	1105
627	1861	1102
628	1863	1099
629	1865	1095
630	1868	1092
631	1870	1089
632	1873	1086
633	1875	1082
634	1878	1079
635	1880	1076
636	1883	1073
637	1885	1069
638	1887	1066
639	1890	1063
640	1893	1060
641	1895	1057
642	1897	1053
643	1900	1050
644	1903	1047
645	1905	1044
646	1908	1041
647	1910	1037
648	1913	1034
649	1915	1031
650	1917	1028
651	1920	1024
652	1922	1021
653	1925	1018
654	1927	1015
655	1930	1012
656	1932	1008
657	1935	1005
658	1937	1002
659	1940	999
660	1943	996
661	1945	993
662	1948	990
663	1950	986
664	1952	983
665	1955	980
666	1957	977
667	1960	974
668	1962	971
669	1964	967
670	1967	964
671	1970	961
672	1972	958
673	1975	955
674	1977	952
675	1979	948
676	1982	945
677	1984	942
678	1987	939
679	1989	936
680	1991	933
681	1994	929
682	1996	926
683	1999	923
684	2001	920
685	2003	917
686	2006	914
687	2008	910
688	2011	907
689	2013	904
690	2016	901
691	2020	899
692	2022	896
693	2025	892
694	2028	889
695	2030	886
696	2033	883
697	2035	880
698	2037	877
699	2040	874
700	2043	871
701	2045	868
702	2048	865
703	2050	862
704	2053	859
705	2055	856
706	2058	853
707	2061	850
708	2063	847
709	2066	843
710	2068	840
711	2070	837
712	2073	834
713	2075	831
714	2077	828
715	2080	825
716	2082	821
717	2084	818
718	2087	815
719	2089	812
720	2092	809
721	2094	806
722	2097	803
723	2100	800
724	2102	797
725	2105	794
726	2109	792
727	2111	789
728	2114	786
729	2117	783
730	2120	780
731	2123	777
732	2125	774
733	2130	771
734	2132	768
735	2135	766
736	2137	762
737	2141	760
738	2144	757
739	2147	754
740	2150	751
741	2153	748
742	2155	745
743	2158	742
744	2161	739
745	2163	736
746	2166	733
747	2169	730
748	2171	727
749	2174	724
750	2176	721
751	2178	718
752	2181	715
753	2183	712
754	2188	710
755	2190	706
756	2192	703
757	2195	700
758	2197	697
759	2200	694
760	2203	691
761	2205	688
762	2208	685
763	2210	682
764	2213	679
765	2215	676
766	2217	673
767	2220	670
768	2223	667
769	2226	664
770	2228	662
771	2231	658
772	2233	655
773	2236	652
774	2238	649
775	2241	646
776	2243	643
777	2245	640
778	2248	637
779	2250	634
780	2252	631
781	2255	628
782	2257	625
783	2259	622
784	2262	619
785	2264	616
786	2267	613
787	2269	610
788	2271	607
789	2274	604
790	2276	601
791	2278	598
792	2281	595
793	2283	592
794	2286	589
795	2288	586
796	2291	583
797	2294	580
798	2296	577
799	2298	574
800	2301	571
801	2304	568
802	2306	565
803	2308	562
804	2311	559
805	2313	556
806	2316	553
807	2318	550
808	2321	548
809	2323	545
810	2326	542
811	2328	539
812	2331	536
813	2333	533
814	2336	530
815	2338	527
816	2340	524
817	2343	521
818	2345	518
819	2348	515
820	2350	512
821	2352	509
822	2355	506
823	2357	503
824	2360	500
825	2363	497
826	2365	494
827	2368	491
828	2370	488
829	2372	485
830	2375	483
831	2377	480
832	2380	477
833	2382	474
834	2385	471
835	2387	468
836	2390	465
837	2392	462
838	2395	459
839	2398	456
840	2401	453
841	2403	451
842	2406	448
843	2409	445
844	2412	442
845	2414	439
846	2417	436
847	2420	433
848	2423	431
849	2426	428
850	2428	425
851	2431	422
852	2435	419
853	2438	416
854	2441	413
855	2443	411
856	2446	408
857	2448	405
858	2451	402
859	2453	399
860	2456	396
861	2458	393
862	2460	390
863	2463	387
864	2465	384
865	2468	381
866	2470	379
867	2473	376
868	2475	373
869	2478	370
870	2481	367
871	2483	364
872	2485	361
873	2488	358
874	2490	355
875	2493	352
876	2495	350
877	2497	347
878	2500	344
879	2502	341
880	2505	338
881	2508	335
882	2510	332
883	2513	329
884	2515	326
885	2517	323
886	2520	321
887	2522	318
888	2524	315
889	2527	312
890	2529	309
891	2531	306
892	2534	303
893	2537	300
894	2539	297
895	2542	295
896	2544	292
897	2547	289
898	2549	286
899	2551	283
900	2554	280
901	2556	277
902	2558	274
903	2561	272
904	2564	269
905	2566	266
906	2568	263
907	2571	260
908	2573	257
909	2576	254
910	2578	251
911	2581	249
912	2583	246
913	2585	243
914	2588	240
915	2590	237
916	2593	234
917	2596	231
918	2598	229
919	2601	226
920	2603	223
921	2605	220
922	2608	217
923	2610	214
924	2612	211
925	2615	209
926	2617	206
927	2619	203
928	2622	200
929	2624	197
930	2627	194
931	2629	191
932	2631	189
933	2634	186
934	2636	183
935	2639	180
936	2641	177
937	2644	174
938	2646	171
939	2648	169
940	2651	166
941	2653	163
942	2655	160
943	2658	157
944	2660	154
945	2662	152
946	2665	149
947	2667	146
948	2670	143
949	2672	140
950	2674	137
951	2677	134
952	2679	132
953	2682	129
954	2684	126
955	2686	123
956	2688	120
957	2691	117
958	2693	115
959	2696	112
960	2698	109
961	2700	106
962	2702	103
963	2705	101
964	2707	98
965	2710	95
966	2712	92
967	2715	89
968	2717	86
969	2719	84
970	2722	81
971	2724	78
972	2729	75
973	2732	72
974	2734	70
975	2737	67
976	2739	64
977	2742	61
978	2744	58
979	2747	56
980	2750	53
981	2752	50
982	2754	47
983	2757	44
984	2759	42
985	2762	39
986	2764	36
987	2766	33
988	2768	30
989	2771	27
990	2773	25
991	2775	22
992	2778	19
993	2780	16
994	2782	13
995	2785	11
996	2787	8
997	2790	5
998	2792	2
999	2795	0
